Waybill (Reference);MOT;Type of Service;Forwarded Carrier; Total Invoice Value (USD) ;Total Packages;Total Gross Weight (Kilograms);Port Departure;Country;Port Arrival;Target Date;Carrier SLA;Pickup Date;Estimated time of delivery;Actual time of delivery;Estimated time of arrival;Actual time of arrival
A12345678;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 9.058,47 ;1;142,00;SVEDALA;SUECIA;BUENOS AIRES;05-01-2024;19-12-2023;11/12/2023;16/12/2023;16/12/2023;19/12/2023;19/12/2023
A12345679;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 17.776,00 ;4;1150,00;SANDVIKEN;SUECIA;BUENOS AIRES;04-03-2025;14-02-2025;7/2/2025;11/2/2025;11/2/2025;16/2/2025;17/2/2025
A12345680;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 12.016,20 ;2;1870,00;SVEDALA;SUECIA;BUENOS AIRES;28-03-2025;15-03-2025;3/3/2025;7/3/2025;8/3/2025;17/3/2025;17/3/2025
A12345681;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 5.471,74 ;3;2445,00;HAMBURG;ALEMANIA;BUENOS AIRES;24-12-2024;17-01-2025;29/11/2024;16/12/2024;23/12/2024;16/1/2025;17/1/2025
A12345682;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 19,99 ;1;4,17;SANDVIKEN;SUECIA;BUENOS AIRES;04-10-2023;14-09-2023;7/9/2023;10/9/2023;10/9/2023;10/9/2023;10/9/2023
A12345683;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 101,00 ;1;6,00;SANDVIKEN;SUECIA;BUENOS AIRES;28-11-2023;07-11-2023;1/11/2023;3/11/2023;3/11/2023;7/11/2023;7/11/2023
A12345684;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 80,80 ;1;5,00;SANDVIKEN;SUECIA;BUENOS AIRES;19-11-2023;01-01-1900;23/10/2023;31/10/2023;24/10/2023;31/10/2023;31/10/2023
A12345685;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 409,34 ;1;56,00;SANDVIKEN;SUECIA;BUENOS AIRES;07-06-2023;19-05-2023;11/5/2023;17/5/2023;17/5/2023;19/5/2023;19/5/2023
A12345686;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 884,46 ;1;47,00;SANDVIKEN;SUECIA;BUENOS AIRES;11-06-2023;23-05-2023;15/5/2023;21/5/2023;21/5/2023;23/5/2023;23/5/2023
A12345687;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 547,21 ;2;35,00;SANDVIKEN;SUECIA;BUENOS AIRES;09-07-2023;21-06-2023;12/6/2023;18/6/2023;17/6/2023;21/6/2023;21/6/2023
A12345688;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 5.371,92 ;1;467,00;SANDVIKEN;SUECIA;BUENOS AIRES;19-07-2023;08-07-2023;22/6/2023;28/6/2023;28/6/2023;8/7/2023;8/7/2023
A12345689;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 1.589,30 ;1;46,00;SANDVIKEN;SUECIA;BUENOS AIRES;17-08-2023;18-08-2023;21/7/2023;14/8/2023;14/8/2023;18/8/2023;17/8/2023
A12345690;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 3.390,43 ;1;77,00;SANDVIKEN;SUECIA;BUENOS AIRES;21-09-2023;08-09-2023;25/8/2023;4/9/2023;4/9/2023;8/9/2023;8/9/2023
A12345691;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 210,14 ;3;12,50;SANDVIKEN;SUECIA;BUENOS AIRES;04-11-2023;16-10-2023;8/10/2023;14/10/2023;14/10/2023;16/10/2023;16/10/2023
A12345692;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 1.349,76 ;1;20,00;SANDVIKEN;SUECIA;BUENOS AIRES;24-01-2024;10-01-2024;28/12/2023;6/1/2024;6/1/2024;10/1/2024;11/1/2024
A12345693;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 1.097,94 ;1;21,00;SANDVIKEN;SUECIA;BUENOS AIRES;25-01-2024;10-01-2024;29/12/2023;6/1/2024;6/1/2024;10/1/2024;11/1/2024
A12345694;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 2.214,70 ;1;233,00;SANDVIKEN;SUECIA;BUENOS AIRES;29-01-2025;11-01-2025;2/1/2025;8/1/2025;8/1/2025;13/1/2025;13/1/2025
A12345695;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 15.692,00 ;1;210,00;SANDVIKEN;SUECIA;BUENOS AIRES;05-02-2025;12-01-2025;9/1/2025;11/1/2025;11/1/2025;13/1/2025;13/1/2025
A12345696;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 2.620,89 ;2;245,00;SANDVIKEN;SUECIA;BUENOS AIRES;04-02-2025;17-01-2025;8/1/2025;10/1/2025;11/1/2025;17/1/2025;17/1/2025
A12345697;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 3.532,48 ;2;686,00;SANDVIKEN;SUECIA;BUENOS AIRES;05-02-2025;17-01-2025;9/1/2025;15/1/2025;15/1/2025;17/1/2025;17/1/2025
A12345698;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 10.324,48 ;6;1605,00;SANDVIKEN;SUECIA;BUENOS AIRES;24-02-2025;30-01-2025;28/1/2025;28/1/2025;28/1/2025;30/1/2025;30/1/2025
A12345699;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 69,27 ;1;4,00;SANDVIKEN;SUECIA;BUENOS AIRES;24-02-2025;02-02-2025;28/1/2025;31/1/2025;31/1/2025;5/2/2025;5/2/2025
A12345700;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 476,04 ;1;18,00;SANDVIKEN;SUECIA;BUENOS AIRES;25-02-2025;03-02-2025;29/1/2025;5/2/2025;5/2/2025;7/2/2025;7/2/2025
A12345701;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 285,83 ;1;32,00;SANDVIKEN;SUECIA;BUENOS AIRES;27-02-2025;06-02-2025;31/1/2025;5/2/2025;5/2/2025;13/2/2025;8/2/2025
A12345702;AIR;STANDARD ECONOMY;TRANSIT XPRESS; $ 1.928,66 ;2;100,00;SANDVIKEN;SUECIA;BUENOS AIRES;27-02-2025;06-02-2025;31/1/2025;5/2/2025;5/2/2025;13/2/2025;8/2/2025
